Customer ID,City,Customer Last Name,Market,Region,Segment,State,Country,Customer First Name,Postal Code
HM-4980,Abadan,macallister,(EMEA),EMEA,Consumer,Khuzestan,Iran,henry,
DM-3525,Abadan,miller,(EMEA),EMEA,Corporate,Khuzestan,Iran,don,
Dl-3600,Abakaliki,liebe,(Africa),Africa,Corporate,Ebonyi,Nigeria,dorris,
SG-20080,Abbeville,glassco,(EU),Central,Consumer,Picardy,France,sandra,
ON-18715,Abbeville,nelson,(EU),Central,Corporate,Picardy,France,odella,
AG-270,Abbotsford,grove,(Canada),Canada,Consumer,British Columbia,Canada,alejandro,
BD-1635,Abeokuta,derr,(Africa),Africa,Consumer,Ogun,Nigeria,brian,
LD-6855,Abeokuta,donovan,(Africa),Africa,Corporate,Ogun,Nigeria,lela,
DW-3585,Abeokuta,wardle,(Africa),Africa,Corporate,Ogun,Nigeria,dorothy,
MC-17635,Aberdeen,clasen,(EU),North,Corporate,Scotland,UK,matthew,
JL-15505,Aberdeen,lonsdale,(US),Central,Consumer,South Dakota,United States,jeremy,57401
GT-14635,Aberdeen,thornton,(EU),North,Corporate,Scotland,UK,grant,
LC-6870,Abha,cacioppo,(EMEA),EMEA,Consumer,'Asir,Saudi Arabia,lena,
CK-2760,Abha,kinney,(EMEA),EMEA,Corporate,'Asir,Saudi Arabia,cyma,
PN-8775,Abha,norris,(EMEA),EMEA,Home Office,'Asir,Saudi Arabia,parhena,
DP-3390,Abha,pardue,(EMEA),EMEA,Home Office,'Asir,Saudi Arabia,dennis,
CS-1845,Abha,sayre,(EMEA),EMEA,Corporate,'Asir,Saudi Arabia,cari,
CA-1965,Abidjan,adams,(Africa),Africa,Corporate,Lagunes,Cote d'Ivoire,carol,
MA-7995,Abidjan,arnett,(Africa),Africa,Home Office,Lagunes,Cote d'Ivoire,michelle,
RB-9795,Abidjan,baird,(Africa),Africa,Home Office,Lagunes,Cote d'Ivoire,ross,
JB-5400,Abidjan,braxton,(Africa),Africa,Corporate,Lagunes,Cote d'Ivoire,jennifer,
JC-5385,Abidjan,caffey,(Africa),Africa,Consumer,Lagunes,Cote d'Ivoire,jenna,
JC-5775,Abidjan,castell,(Africa),Africa,Consumer,Lagunes,Cote d'Ivoire,john,
EC-4050,Abidjan,creighton,(Africa),Africa,Consumer,Lagunes,Cote d'Ivoire,erin,
LC-6885,Abidjan,creighton,(Africa),Africa,Consumer,Lagunes,Cote d'Ivoire,lena,
BF-1215,Abidjan,farhat,(Africa),Africa,Home Office,Lagunes,Cote d'Ivoire,benjamin,
SF-10200,Abidjan,foster,(Africa),Africa,Consumer,Lagunes,Cote d'Ivoire,sarah,
SG-10605,Abidjan,goranitis,(Africa),Africa,Consumer,Lagunes,Cote d'Ivoire,speros,
SG-10470,Abidjan,gordon,(Africa),Africa,Consumer,Lagunes,Cote d'Ivoire,sheri,
DH-3075,Abidjan,hallsten,(Africa),Africa,Corporate,Lagunes,Cote d'Ivoire,dave,
EH-3945,Abidjan,hoffmann,(Africa),Africa,Consumer,Lagunes,Cote d'Ivoire,eric,
MJ-7740,Abidjan,jones,(Africa),Africa,Consumer,Lagunes,Cote d'Ivoire,max,
CK-2325,Abidjan,kargatis,(Africa),Africa,Home Office,Lagunes,Cote d'Ivoire,christine,
CL-2700,Abidjan,leslie,(Africa),Africa,Home Office,Lagunes,Cote d'Ivoire,craig,
ML-8040,Abidjan,lonsdale,(Africa),Africa,Corporate,Lagunes,Cote d'Ivoire,michelle,
JM-6195,Abidjan,mackendrick,(Africa),Africa,Consumer,Lagunes,Cote d'Ivoire,justin,
AM-705,Abidjan,mcfarland,(Africa),Africa,Consumer,Lagunes,Cote d'Ivoire,anne,
DM-2955,Abidjan,medina,(Africa),Africa,Corporate,Lagunes,Cote d'Ivoire,dario,
MP-7965,Abidjan,paige,(Africa),Africa,Corporate,Lagunes,Cote d'Ivoire,michael,
LS-7230,Abidjan,saunders,(Africa),Africa,Consumer,Lagunes,Cote d'Ivoire,lycoris,
AS-630,Abidjan,steele,(Africa),Africa,Home Office,Lagunes,Cote d'Ivoire,ann,
KT-6465,Abidjan,takahito,(Africa),Africa,Consumer,Lagunes,Cote d'Ivoire,kean,
BT-1305,Abidjan,thompson,(Africa),Africa,Home Office,Lagunes,Cote d'Ivoire,beth,
SW-10755,Abidjan,ward,(Africa),Africa,Corporate,Lagunes,Cote d'Ivoire,steven,
BW-1110,Abidjan,watters,(Africa),Africa,Corporate,Lagunes,Cote d'Ivoire,bart,
NW-8400,Abidjan,webber,(Africa),Africa,Consumer,Lagunes,Cote d'Ivoire,natalie,
MW-8235,Abidjan,willingham,(Africa),Africa,Corporate,Lagunes,Cote d'Ivoire,mitch,
DK-13375,Abilene,kane,(US),Central,Consumer,Texas,United States,dennis,79605
TZ-21445,Abreu e Lima,zandusky,(LATAM),South,Corporate,Pernambuco,Brazil,tom,
BM-1785,Abu Kabir,mills,(Africa),Africa,Consumer,Ash Sharqiyah,Egypt,bryan,
CS-1860,Abu Kabir,schnelling,(Africa),Africa,Consumer,Ash Sharqiyah,Egypt,cari,
FA-4230,Abuja,atkinson,(Africa),Africa,Corporate,Abuja Capital Territory,Nigeria,frank,
CR-2580,Abuja,rozendal,(Africa),Africa,Home Office,Abuja Capital Territory,Nigeria,clay,
TB-21190,Acámbaro,brumley,(LATAM),North,Home Office,Guanajuato,Mexico,thomas,
TA-21385,Acarigua,ashbrook,(LATAM),South,Home Office,Portuguesa,Venezuela,tom,
BE-11410,Acayucan,elias,(LATAM),North,Consumer,Veracruz,Mexico,bobby,
ML-17755,Acayucan,ludwig,(LATAM),North,Home Office,Veracruz,Mexico,max,
SS-20410,Acayucan,shariari,(LATAM),North,Consumer,Veracruz,Mexico,shahid,
RA-9945,Accra,akin,(Africa),Africa,Consumer,Greater Accra,Ghana,ryan,
KB-6240,Accra,bern,(Africa),Africa,Corporate,Greater Accra,Ghana,karen,
DB-3615,Accra,bickford,(Africa),Africa,Consumer,Greater Accra,Ghana,doug,
TB-11595,Accra,blackwell,(Africa),Africa,Consumer,Greater Accra,Ghana,troy,
PB-9150,Accra,brown,(Africa),Africa,Consumer,Greater Accra,Ghana,philip,
CC-2670,Accra,carreira,(Africa),Africa,Consumer,Greater Accra,Ghana,craig,
AC-450,Accra,cox,(Africa),Africa,Consumer,Greater Accra,Ghana,amy,
KD-6615,Accra,dana,(Africa),Africa,Corporate,Greater Accra,Ghana,ken,
RD-9585,Accra,dowd,(Africa),Africa,Consumer,Greater Accra,Ghana,rob,
RE-9450,Accra,eichhorn,(Africa),Africa,Consumer,Greater Accra,Ghana,richard,
NF-8385,Accra,fritzler,(Africa),Africa,Consumer,Greater Accra,Ghana,natalie,
EG-3900,Accra,grady,(Africa),Africa,Consumer,Greater Accra,Ghana,emily,
MH-7440,Accra,haberlin,(Africa),Africa,Corporate,Greater Accra,Ghana,mark,
MH-7290,Accra,harrigan,(Africa),Africa,Home Office,Greater Accra,Ghana,marc,
JH-6180,Accra,hirsh,(Africa),Africa,Consumer,Greater Accra,Ghana,justin,
JJ-5445,Accra,jackson,(Africa),Africa,Consumer,Greater Accra,Ghana,jennifer,
JK-5625,Accra,karlsson,(Africa),Africa,Consumer,Greater Accra,Ghana,jim,
HM-4860,Accra,marie,(Africa),Africa,Corporate,Greater Accra,Ghana,harry,
IM-5055,Accra,mcgrath,(Africa),Africa,Consumer,Greater Accra,Ghana,ionia,
MM-7920,Accra,moore,(Africa),Africa,Consumer,Greater Accra,Ghana,michael,
SP-10620,Accra,perrino,(Africa),Africa,Corporate,Greater Accra,Ghana,stefania,
DP-3165,Accra,philippe,(Africa),Africa,Consumer,Greater Accra,Ghana,david,
RS-9765,Accra,schwarz,(Africa),Africa,Corporate,Greater Accra,Ghana,roland,
MS-7830,Accra,seite,(Africa),Africa,Consumer,Greater Accra,Ghana,melanie,
BS-1365,Accra,shonely,(Africa),Africa,Corporate,Greater Accra,Ghana,bill,
TS-11085,Accra,sissman,(Africa),Africa,Consumer,Greater Accra,Ghana,thais,
TS-11160,Accra,swint,(Africa),Africa,Corporate,Greater Accra,Ghana,theresa,
AT-435,Accra,tate,(Africa),Africa,Home Office,Greater Accra,Ghana,alyssa,
DV-3465,Accra,vittorini,(Africa),Africa,Consumer,Greater Accra,Ghana,dianna,
HW-4935,Accra,wasserman,(Africa),Africa,Corporate,Greater Accra,Ghana,helen,
TW-11025,Accra,willingham,(Africa),Africa,Home Office,Greater Accra,Ghana,tamara,
MY-8295,Accra,yedwab,(Africa),Africa,Corporate,Greater Accra,Ghana,muhammed,
GZ-4470,Accra,zandusky,(Africa),Africa,Consumer,Greater Accra,Ghana,gary,
AR-10345,Acerra,russell,(EU),South,Corporate,Campania,Italy,alex,
VG-21805,Acireale,grady,(EU),South,Corporate,Sicily,Italy,vivek,
FH-14365,Acireale,hopkins,(EU),South,Corporate,Sicily,Italy,fred,
MH-18025,Acireale,huthwaite,(EU),South,Consumer,Sicily,Italy,michelle,
CJ-12010,Acireale,jumper,(EU),South,Consumer,Sicily,Italy,caroline,
SL-20155,Acireale,luxemburg,(EU),South,Home Office,Sicily,Italy,sara,
SS-20140,Acireale,shifley,(EU),South,Corporate,Sicily,Italy,saphhira,
LC-16960,Açu,castell,(LATAM),South,Home Office,Rio Grande do Norte,Brazil,lindsay,
DJ-13510,Açu,jones,(LATAM),South,Corporate,Rio Grande do Norte,Brazil,don,
JL-15130,Açu,lebron,(LATAM),South,Consumer,Rio Grande do Norte,Brazil,jack,
CL-11890,Açu,ludwig,(LATAM),South,Consumer,Rio Grande do Norte,Brazil,carl,
DN-13690,Açu,noonan,(LATAM),South,Consumer,Rio Grande do Norte,Brazil,duane,
DS-13030,Açu,sayre,(LATAM),South,Home Office,Rio Grande do Norte,Brazil,darrin,
EB-13975,Acuña,bern,(LATAM),North,Corporate,Coahuila,Mexico,erica,
TB-21175,Acuña,boland,(LATAM),North,Corporate,Coahuila,Mexico,thomas,
AF-10885,Acuña,foster,(LATAM),North,Consumer,Coahuila,Mexico,art,
BF-11275,Acuña,fritzler,(LATAM),North,Corporate,Coahuila,Mexico,beth,
BV-11245,Acuña,venier,(LATAM),North,Corporate,Coahuila,Mexico,benjamin,
SV-20785,Acuña,visinsky,(LATAM),North,Consumer,Coahuila,Mexico,stewart,
EH-4185,Ad Diwaniyah,henry,(EMEA),EMEA,Consumer,Al Qadisiyah,Iraq,evan,
DK-3225,Ad Diwaniyah,katz,(EMEA),EMEA,Corporate,Al Qadisiyah,Iraq,dean,
MM-8280,Ad Diwaniyah,macintyre,(EMEA),EMEA,Corporate,Al Qadisiyah,Iraq,muhammed,
GM-4695,Ad Diwaniyah,maxwell,(EMEA),EMEA,Corporate,Al Qadisiyah,Iraq,greg,
CM-2715,Ad Diwaniyah,molinari,(EMEA),EMEA,Corporate,Al Qadisiyah,Iraq,craig,
NP-8670,Ad Diwaniyah,paige,(EMEA),EMEA,Consumer,Al Qadisiyah,Iraq,nora,
CS-2490,Ad Diwaniyah,schnelling,(EMEA),EMEA,Corporate,Al Qadisiyah,Iraq,cindy,
AS-135,Ad Diwaniyah,shami,(EMEA),EMEA,Home Office,Al Qadisiyah,Iraq,adrian,
BF-975,Ad Diwem,fisher,(Africa),Africa,Corporate,White Nile,Sudan,barbara,
RM-9375,Ad Diwem,messe,(Africa),Africa,Consumer,White Nile,Sudan,raymond,
NP-8325,Ad Diwem,patel,(Africa),Africa,Consumer,White Nile,Sudan,naresj,
SS-10515,Ad Diwem,schmidt,(Africa),Africa,Home Office,White Nile,Sudan,shirley,
RA-9285,Adana,arnett,(EMEA),EMEA,Consumer,Adana,Turkey,ralph,
AB-165,Adana,barnes,(EMEA),EMEA,Consumer,Adana,Turkey,alan,
LB-6795,Adana,beltran,(EMEA),EMEA,Home Office,Adana,Turkey,laurel,
SB-10290,Adana,braxton,(EMEA),EMEA,Corporate,Adana,Turkey,sean,
CC-2145,Adana,crestani,(EMEA),EMEA,Consumer,Adana,Turkey,charles,
JE-5475,Adana,ellison,(EMEA),EMEA,Consumer,Adana,Turkey,jeremy,
JG-5805,Adana,grady,(EMEA),EMEA,Corporate,Adana,Turkey,john,
TH-11235,Adana,house,(EMEA),EMEA,Corporate,Adana,Turkey,tiffany,
CH-2070,Adana,hwang,(EMEA),EMEA,Home Office,Adana,Turkey,cathy,
CM-2655,Adana,mitchell,(EMEA),EMEA,Home Office,Adana,Turkey,corinna,
MO-7950,Adana,oakman,(EMEA),EMEA,Consumer,Adana,Turkey,michael,
JO-5145,Adana,o'briant,(EMEA),EMEA,Corporate,Adana,Turkey,jack,
LO-7170,Adana,olson,(EMEA),EMEA,Corporate,Adana,Turkey,lori,
DO-3435,Adana,ordway,(EMEA),EMEA,Consumer,Adana,Turkey,denny,
EP-3915,Adana,phan,(EMEA),EMEA,Consumer,Adana,Turkey,emily,
LS-6945,Adana,southworth,(EMEA),EMEA,Corporate,Adana,Turkey,linda,
TS-11610,Adana,staebel,(EMEA),EMEA,Consumer,Adana,Turkey,troy,
CS-2355,Adana,sundaresam,(EMEA),EMEA,Consumer,Adana,Turkey,christine,
MT-8070,Adana,tran,(EMEA),EMEA,Home Office,Adana,Turkey,michelle,
AA-10480,Adelaide,allen,(APAC),Oceania,Consumer,South Australia,Australia,andrew,
AB-10105,Adelaide,barton,(APAC),Oceania,Consumer,South Australia,Australia,adrian,
RB-19330,Adelaide,bradley,(APAC),Oceania,Consumer,South Australia,Australia,randy,
DB-12910,Adelaide,byrd,(APAC),Oceania,Home Office,South Australia,Australia,daniel,
LC-16930,Adelaide,cazamias,(APAC),Oceania,Corporate,South Australia,Australia,linda,
SC-20695,Adelaide,chapman,(APAC),Oceania,Corporate,South Australia,Australia,steve,
SC-20305,Adelaide,christensen,(APAC),Oceania,Consumer,South Australia,Australia,sean,
TC-21145,Adelaide,coyne,(APAC),Oceania,Corporate,South Australia,Australia,theresa,
MC-18100,Adelaide,crebagga,(APAC),Oceania,Consumer,South Australia,Australia,mick,
BD-11605,Adelaide,dahlen,(APAC),Oceania,Consumer,South Australia,Australia,brian,
KD-16270,Adelaide,daniels,(APAC),Oceania,Consumer,South Australia,Australia,karen,
SD-20485,Adelaide,daniels,(APAC),Oceania,Home Office,South Australia,Australia,shirley,
LD-17005,Adelaide,decherney,(APAC),Oceania,Consumer,South Australia,Australia,lisa,
BD-11725,Adelaide,degenhardt,(APAC),Oceania,Consumer,South Australia,Australia,bruce,
CD-12280,Adelaide,demoss,(APAC),Oceania,Consumer,South Australia,Australia,christina,
RD-19810,Adelaide,devincentis,(APAC),Oceania,Home Office,South Australia,Australia,ross,
MD-17860,Adelaide,dominguez,(APAC),Oceania,Corporate,South Australia,Australia,michael,
GD-14590,Adelaide,dortch,(APAC),Oceania,Corporate,South Australia,Australia,giulietta,
JE-16165,Adelaide,ellison,(APAC),Oceania,Corporate,South Australia,Australia,justin,
BE-11335,Adelaide,eplett,(APAC),Oceania,Home Office,South Australia,Australia,bill,
BF-11080,Adelaide,folk,(APAC),Oceania,Consumer,South Australia,Australia,bart,
AG-10300,Adelaide,gannaway,(APAC),Oceania,Corporate,South Australia,Australia,aleksandra,
MG-17680,Adelaide,gastineau,(APAC),Oceania,Home Office,South Australia,Australia,maureen,
TG-21310,Adelaide,gnade,(APAC),Oceania,Consumer,South Australia,Australia,toby,
HG-14965,Adelaide,goldwyn,(APAC),Oceania,Corporate,South Australia,Australia,henry,
VG-21790,Adelaide,gonzalez,(APAC),Oceania,Consumer,South Australia,Australia,vivek,
AG-10330,Adelaide,grayson,(APAC),Oceania,Consumer,South Australia,Australia,alex,
CG-12520,Adelaide,gute,(APAC),Oceania,Consumer,South Australia,Australia,claire,
NH-18610,Adelaide,hansen,(APAC),Oceania,Corporate,South Australia,Australia,nicole,
GH-14410,Adelaide,hansen,(APAC),Oceania,Home Office,South Australia,Australia,gary,
EH-13765,Adelaide,hooks,(APAC),Oceania,Corporate,South Australia,Australia,edward,
KH-16360,Adelaide,hughes,(APAC),Oceania,Consumer,South Australia,Australia,katherine,
SJ-20500,Adelaide,jackson,(APAC),Oceania,Consumer,South Australia,Australia,shirley,
EJ-14155,Adelaide,jacobs,(APAC),Oceania,Consumer,South Australia,Australia,eva,
AJ-10795,Adelaide,johnson,(APAC),Oceania,Corporate,South Australia,Australia,anthony,
CK-12325,Adelaide,kargatis,(APAC),Oceania,Home Office,South Australia,Australia,christine,
RK-19300,Adelaide,kennedy,(APAC),Oceania,Consumer,South Australia,Australia,ralph,
JK-15325,Adelaide,klamczynski,(APAC),Oceania,Corporate,South Australia,Australia,jason,
DL-13330,Adelaide,leinenbach,(APAC),Oceania,Consumer,South Australia,Australia,denise,
JL-15850,Adelaide,lucas,(APAC),Oceania,Consumer,South Australia,Australia,john,
CM-12445,Adelaide,magee,(APAC),Oceania,Consumer,South Australia,Australia,chuck,
CM-12385,Adelaide,martinez,(APAC),Oceania,Consumer,South Australia,Australia,christopher,
EM-13810,Adelaide,mccrary,(APAC),Oceania,Corporate,South Australia,Australia,eleni,
CM-12115,Adelaide,mcguire,(APAC),Oceania,Consumer,South Australia,Australia,chad,
CM-11815,Adelaide,mcmahon,(APAC),Oceania,Corporate,South Australia,Australia,candace,
KM-16225,Adelaide,meade,(APAC),Oceania,Corporate,South Australia,Australia,kalyca,
DM-12955,Adelaide,medina,(APAC),Oceania,Corporate,South Australia,Australia,dario,
VM-21685,Adelaide,mitchum,(APAC),Oceania,Home Office,South Australia,Australia,valerie,
BM-11650,Adelaide,moss,(APAC),Oceania,Corporate,South Australia,Australia,brian,
EM-14065,Adelaide,mull,(APAC),Oceania,Consumer,South Australia,Australia,erin,
EM-13960,Adelaide,murdock,(APAC),Oceania,Consumer,South Australia,Australia,eric,
MP-17965,Adelaide,paige,(APAC),Oceania,Corporate,South Australia,Australia,michael,
RP-19270,Adelaide,payne,(APAC),Oceania,Corporate,South Australia,Australia,rachel,
BP-11185,Adelaide,peterman,(APAC),Oceania,Corporate,South Australia,Australia,ben,
VP-21730,Adelaide,preis,(APAC),Oceania,Home Office,South Australia,Australia,victor,
NR-18550,Adelaide,radford,(APAC),Oceania,Consumer,South Australia,Australia,nick,
SR-20740,Adelaide,roelle,(APAC),Oceania,Home Office,South Australia,Australia,steven,
LS-17230,Adelaide,saunders,(APAC),Oceania,Consumer,South Australia,Australia,lycoris,
CS-11845,Adelaide,sayre,(APAC),Oceania,Corporate,South Australia,Australia,cari,
KS-16300,Adelaide,seio,(APAC),Oceania,Corporate,South Australia,Australia,karen,
LS-16945,Adelaide,southworth,(APAC),Oceania,Corporate,South Australia,Australia,linda,
BT-11530,Adelaide,talbott,(APAC),Oceania,Home Office,South Australia,Australia,bradley,
GT-14755,Adelaide,thornton,(APAC),Oceania,Consumer,South Australia,Australia,guy,
GT-14710,Adelaide,tran,(APAC),Oceania,Consumer,South Australia,Australia,greg,
TT-21460,Adelaide,turnell,(APAC),Oceania,Home Office,South Australia,Australia,tonja,
BT-11395,Adelaide,tyler,(APAC),Oceania,Corporate,South Australia,Australia,bill,
DW-13585,Adelaide,wardle,(APAC),Oceania,Corporate,South Australia,Australia,dorothy,
SZ-20035,Adelaide,zeldin,(APAC),Oceania,Home Office,South Australia,Australia,sam,
TB-11280,Adiyaman,braunhardt,(EMEA),EMEA,Consumer,Adiyaman,Turkey,toby,
NR-8550,Adiyaman,radford,(EMEA),EMEA,Consumer,Adiyaman,Turkey,nick,
DW-3540,Adiyaman,weiss,(EMEA),EMEA,Consumer,Adiyaman,Turkey,don,
BN-11470,Afragola,norvell,(EU),South,Corporate,Campania,Italy,brad,
JM-5250,Afyon,martin,(EMEA),EMEA,Consumer,Afyonkarahisar,Turkey,janet,
KM-6720,Afyon,miller,(EMEA),EMEA,Consumer,Afyonkarahisar,Turkey,kunst,
Co-2640,Agadir,"",(Africa),Africa,Consumer,Souss-Massa-Draâ,Morocco,corey-lock,
DE-3255,Agadir,eno,(Africa),Africa,Home Office,Souss-Massa-Draâ,Morocco,deanra,
MG-7680,Agadir,gastineau,(Africa),Africa,Home Office,Souss-Massa-Draâ,Morocco,maureen,
JK-5370,Agadir,kimmel,(Africa),Africa,Consumer,Souss-Massa-Draâ,Morocco,jay,
SP-10545,Agadir,parks,(Africa),Africa,Corporate,Souss-Massa-Draâ,Morocco,sibella,
LP-7095,Agadir,preis,(Africa),Africa,Consumer,Souss-Massa-Draâ,Morocco,liz,
LR-7035,Agadir,ryan,(Africa),Africa,Corporate,Souss-Massa-Draâ,Morocco,lisa,
YC-21895,Agde,carroll,(EU),Central,Corporate,Languedoc-Roussillon,France,yoseph,
ML-17395,Agen,lichtenstein,(EU),Central,Corporate,Aquitaine,France,marina,
KN-16450,Agen,nguyen,(EU),Central,Corporate,Aquitaine,France,kean,
CA-12265,Agra,anderson,(APAC),Central Asia,Consumer,Uttar Pradesh,India,christina,
AA-10315,Agra,avila,(APAC),Central Asia,Consumer,Uttar Pradesh,India,alex,
RB-19465,Agra,bensley,(APAC),Central Asia,Home Office,Uttar Pradesh,India,rick,
DB-13615,Agra,bickford,(APAC),Central Asia,Consumer,Uttar Pradesh,India,doug,
NC-18340,Agra,carroll,(APAC),Central Asia,Consumer,Uttar Pradesh,India,nat,
JG-15805,Agra,grady,(APAC),Central Asia,Corporate,Uttar Pradesh,India,john,
DG-13300,Agra,greer,(APAC),Central Asia,Corporate,Uttar Pradesh,India,deirdre,
LH-16900,Agra,hernandez,(APAC),Central Asia,Consumer,Uttar Pradesh,India,lena,
AO-10810,Agra,o'donnell,(APAC),Central Asia,Corporate,Uttar Pradesh,India,anthony,
LR-17035,Agra,ryan,(APAC),Central Asia,Corporate,Uttar Pradesh,India,lisa,
LS-17200,Agra,schmidt,(APAC),Central Asia,Corporate,Uttar Pradesh,India,luke,
JS-16030,Agra,smith,(APAC),Central Asia,Consumer,Uttar Pradesh,India,joy,
TT-21070,Agra,trevino,(APAC),Central Asia,Consumer,Uttar Pradesh,India,ted,
MH-17290,Agrigento,harrigan,(EU),South,Home Office,Sicily,Italy,marc,
DK-13225,Agrigento,katz,(EU),South,Corporate,Sicily,Italy,dean,
KB-16405,Águas Lindas de Goiás,bavinger,(LATAM),South,Home Office,Goiás,Brazil,katrina,
LC-17050,Águas Lindas de Goiás,carlisle,(LATAM),South,Consumer,Goiás,Brazil,liz,
AB-150,Ahvaz,bixby,(EMEA),EMEA,Consumer,Khuzestan,Iran,aimee,
ND-8460,Ahvaz,ducich,(EMEA),EMEA,Corporate,Khuzestan,Iran,neil,
RD-9480,Ahvaz,duston,(EMEA),EMEA,Consumer,Khuzestan,Iran,rick,
JE-6165,Ahvaz,ellison,(EMEA),EMEA,Corporate,Khuzestan,Iran,justin,
RF-9735,Ahvaz,fjeld,(EMEA),EMEA,Consumer,Khuzestan,Iran,roland,
PL-8925,Ahvaz,lucas,(EMEA),EMEA,Home Office,Khuzestan,Iran,paul,
TM-11490,Ahvaz,molinari,(EMEA),EMEA,Consumer,Khuzestan,Iran,tony,
JO-5280,Ahvaz,o'carroll,(EMEA),EMEA,Consumer,Khuzestan,Iran,jas,
GR-4560,Ahvaz,rosenberg,(EMEA),EMEA,Corporate,Khuzestan,Iran,georgia,
BT-1530,Ahvaz,talbott,(EMEA),EMEA,Home Office,Khuzestan,Iran,bradley,
LW-6990,Ahvaz,williams,(EMEA),EMEA,Corporate,Khuzestan,Iran,lindsay,
BO-1425,Ain Oussera,odegard,(Africa),Africa,Consumer,Djelfa,Algeria,bobby,
JD-15895,Aix-en-Provence,doherty,(EU),Central,Corporate,Provence-Alpes-Côte d'Azur,France,jonathan,
TH-21235,Aix-en-Provence,house,(EU),Central,Corporate,Provence-Alpes-Côte d'Azur,France,tiffany,
KL-16645,Aix-en-Provence,lonsdale,(EU),Central,Consumer,Provence-Alpes-Côte d'Azur,France,ken,
ML-18040,Aix-en-Provence,lonsdale,(EU),Central,Corporate,Provence-Alpes-Côte d'Azur,France,michelle,
NM-18445,Aix-en-Provence,mautz,(EU),Central,Home Office,Provence-Alpes-Côte d'Azur,France,nathan,
MO-17800,Aix-en-Provence,o'connel,(EU),Central,Home Office,Provence-Alpes-Côte d'Azur,France,meg,
SW-20755,Aix-en-Provence,ward,(EU),Central,Corporate,Provence-Alpes-Côte d'Azur,France,steven,
RW-19630,Aix-en-Provence,williams,(EU),Central,Corporate,Provence-Alpes-Côte d'Azur,France,rob,
DM-13015,Aix-les-Bains,martin,(EU),Central,Consumer,Rhône-Alpes,France,darrin,
KH-16510,Ajaccio,herrera,(EU),Central,Consumer,Corsica,France,keith,
JD-5790,Ajman,dryer,(EMEA),EMEA,Consumer,'Ajman,United Arab Emirates,john,
PG-8820,Ajman,gardner,(EMEA),EMEA,Consumer,'Ajman,United Arab Emirates,patrick,
PO-8865,Ajman,o'donnell,(EMEA),EMEA,Consumer,'Ajman,United Arab Emirates,patrick,
AC-10615,Ajmer,chong,(APAC),Central Asia,Corporate,Rajasthan,India,ann,
HG-14845,Ajmer,greene,(APAC),Central Asia,Consumer,Rajasthan,India,harry,
JK-16090,Ajmer,krohn,(APAC),Central Asia,Consumer,Rajasthan,India,juliana,
LR-16915,Ajmer,radford,(APAC),Central Asia,Consumer,Rajasthan,India,lena,
CS-12250,Ajmer,selesnick,(APAC),Central Asia,Corporate,Rajasthan,India,chris,
VT-21700,Ajmer,takahito,(APAC),Central Asia,Home Office,Rajasthan,India,valerie,
